INCITS,County,State,Population,State_Abbr
1001,Autauga County,Alabama,55246,AL
1003,Baldwin County,Alabama,195540,AL
1005,Barbour County,Alabama,27076,AL
1007,Bibb County,Alabama,22512,AL
1009,Blount County,Alabama,57872,AL
1011,Bullock County,Alabama,10639,AL
1013,Butler County,Alabama,20265,AL
1015,Calhoun County,Alabama,116736,AL
1017,Chambers County,Alabama,34162,AL
1019,Cherokee County,Alabama,26203,AL
1021,Chilton County,Alabama,43951,AL
1023,Choctaw County,Alabama,13426,AL
1025,Clarke County,Alabama,25207,AL
1027,Clay County,Alabama,13486,AL
1029,Cleburne County,Alabama,14994,AL
1031,Coffee County,Alabama,50938,AL
1033,Colbert County,Alabama,54520,AL
1035,Conecuh County,Alabama,12887,AL
1037,Coosa County,Alabama,10898,AL
1039,Covington County,Alabama,37886,AL
1041,Crenshaw County,Alabama,13986,AL
1043,Cullman County,Alabama,80811,AL
1045,Dale County,Alabama,49884,AL
1047,Dallas County,Alabama,41996,AL
1049,DeKalb County,Alabama,71013,AL
1051,Elmore County,Alabama,80902,AL
1053,Escambia County,Alabama,37983,AL
1055,Etowah County,Alabama,103931,AL
1057,Fayette County,Alabama,16909,AL
1059,Franklin County,Alabama,31532,AL
1061,Geneva County,Alabama,26727,AL
1063,Greene County,Alabama,8744,AL
1065,Hale County,Alabama,15406,AL
1067,Henry County,Alabama,17296,AL
1069,Houston County,Alabama,103668,AL
1071,Jackson County,Alabama,52951,AL
1073,Jefferson County,Alabama,659479,AL
1075,Lamar County,Alabama,14236,AL
1077,Lauderdale County,Alabama,92797,AL
1079,Lawrence County,Alabama,33587,AL
1081,Lee County,Alabama,150933,AL
1083,Limestone County,Alabama,88845,AL
1085,Lowndes County,Alabama,10703,AL
1087,Macon County,Alabama,19688,AL
1089,Madison County,Alabama,346892,AL
1091,Marengo County,Alabama,20155,AL
1093,Marion County,Alabama,30334,AL
1095,Marshall County,Alabama,94760,AL
1097,Mobile County,Alabama,414079,AL
1099,Monroe County,Alabama,22236,AL
1101,Montgomery County,Alabama,226659,AL
1103,Morgan County,Alabama,119787,AL
1105,Perry County,Alabama,10020,AL
1107,Pickens County,Alabama,19401,AL
1109,Pike County,Alabama,33339,AL
1111,Randolph County,Alabama,22727,AL
1113,Russell County,Alabama,59585,AL
1115,St. Clair County,Alabama,86308,AL
1117,Shelby County,Alabama,204180,AL
1119,Sumter County,Alabama,13361,AL
1121,Talladega County,Alabama,81096,AL
1123,Tallapoosa County,Alabama,41203,AL
1125,Tuscaloosa County,Alabama,200821,AL
1127,Walker County,Alabama,65998,AL
1129,Washington County,Alabama,16877,AL
1131,Wilcox County,Alabama,11307,AL
1133,Winston County,Alabama,24146,AL
